Tic, Event
37,New Miner: 1798785743 joined
67,Miner 1798785743: Left
178,New Miner: 1331271644 joined
205,New Miner: 1694692291 joined
209,New Miner: 1607672231 joined
242,Miner 1694692291: Left
271,Miner 1607672231: Left
290,Miner 1331271644: Left
330,New Miner: 561499049 joined
344,New Miner: 786043785 joined
383,Miner 786043785: Left
387,New Miner: 758436678 joined
431,Miner 561499049: Left
445,New Miner: 1011949330 joined
590,New Miner: 1838924106 joined
608,New Miner: 741014239 joined
686,New Miner: 1943902727 joined
745,New Miner: 926178916 joined
758,Miner 1011949330: Left
774,New Miner: 1129403196 joined
927,Miner 1129403196: Left
943,New Miner: 946119780 joined
958,New Miner: 698575207 joined
982,New Miner: 1801594965 joined
1067,New Miner: 2122792737 joined
1087,Miner 758436678: Left
